Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3290,Alirajpur,Alirajpur,Wheat,147 Average,FAQ,2100,2100,2100,19 Jan 2020
3291,Prayagraj,Allahabad,Wheat,Dara,FAQ,1825,2400,2095,22 Jan 2020
3292,Alwar,Alwar,Wheat,Other,FAQ,2055,2075,2065,22 Jan 2020
3293,Alwar,Alwar,Wheat,Other,FAQ,2170,2200,2180,01 Jan 2020
3294,Jalgaon,Amalner,Wheat,Other,FAQ,1850,2400,2400,04 Jan 2020
3295,Amarawati,Amarawati,Wheat,Other,FAQ,2150,2900,2525,02 Jan 2020
3296,Satna,Amarpatan,Wheat,Other,FAQ,2020,2030,2025,16 Jan 2020
3297,Surguja,Ambikapur,Wheat,Local,FAQ,1850,1850,1850,29 Jan 2020
3298,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2160,2520,2440,28 Jan 2020
3299,Amroha,Amroha,Wheat,Local,FAQ,1970,2070,2020,01 Jan 2020
3300,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1915,2010,1960,08 Jan 2020
3301,Baran,Anta,Wheat,Other,FAQ,1971,2029,2000,22 Jan 2020
3302,Guna,Aron,Wheat,Other,FAQ,2037,2445,2115,24 Jan 2020
3303,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,15 Jan 2020
3304,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2060,2140,2100,17 Jan 2020
3305,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2100,2140,2120,24 Jan 2020
3306,Paschim Bardhaman,Asansol,Wheat,Kalyan,FAQ,2100,2150,2100,12 Jan 2020
3307,Ashoknagar,Ashoknagar,Wheat,Other,FAQ,2157,2649,2353,17 Jan 2020
3308,Banda,Atarra,Wheat,Dara,FAQ,1950,2020,1975,20 Jan 2020
3309,Banda,Atarra,Wheat,Dara,FAQ,2000,2100,2050,09 Jan 2020
3310,Baran,Atru,Wheat,Other,FAQ,1871,2115,1993,31 Jan 2020
3311,Baran,Atru,Wheat,Other,FAQ,1940,2122,2031,20 Jan 2020
3312,Baran,Atru,Wheat,Other,FAQ,2080,2241,2160,03 Jan 2020
3313,Baran,Atru,Wheat,Other,FAQ,2195,2300,2247,08 Jan 2020
3314,Auraiya,Auraiya,Wheat,Dara,FAQ,2000,2150,2090,08 Jan 2020
3315,Azamgarh,Azamgarh,Wheat,Dara,FAQ,1925,1975,1950,24 Jan 2020
3316,Azamgarh,Azamgarh,Wheat,Dara,FAQ,1940,1980,1960,17 Jan 2020
3317,Hoshangabad,Babai,Wheat,147 Average,FAQ,2000,2000,2000,20 Jan 2020
3318,Banda,Baberu,Wheat,Dara,FAQ,1930,2070,2000,16 Jan 2020
3319,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,20 Jan 2020
3320,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,21 Jan 2020
3321,Badaun,Babrala,Wheat,Dara,FAQ,1900,2000,1950,29 Jan 2020
3322,Raebarelli,Bachranwa,Wheat,Dara,FAQ,1890,1960,1935,07 Jan 2020
3323,Raebarelli,Bachranwa,Wheat,Dara,FAQ,1900,1950,1930,09 Jan 2020
3324,Etawah,Bharthna,Wheat,Dara,FAQ,2050,2110,2080,11 Jan 2020
3325,Etawah,Bharthna,Wheat,Dara,FAQ,2050,2130,2095,04 Jan 2020
3326,Hamirpur,Bharuasumerpur,Wheat,Dara,FAQ,1950,2000,1980,01 Jan 2020
3327,Balodabazar,Bhatapara,Wheat,Local,FAQ,1855,2105,1985,11 Jan 2020
3328,Balodabazar,Bhatapara,Wheat,Local,FAQ,2100,2100,2100,31 Jan 2020
3329,Jhalawar,Bhawani Mandi(Raipur),Wheat,Other,FAQ,2192,2192,2192,04 Jan 2020
3330,Sambhal,Bhehjoi,Wheat,Dara,FAQ,1840,1860,1850,01 Jan 2020
3331,Khargone,Bhikangaon,Wheat,Lokwan,FAQ,2240,2391,2346,12 Jan 2020
3332,Sabarkantha,Bhiloda,Wheat,Other,FAQ,2175,2425,2300,03 Jan 2020
3333,Sabarkantha,Bhiloda,Wheat,Other,FAQ,2200,2375,2288,18 Jan 2020
3334,Bhilwara,Bhilwara,Wheat,Other,FAQ,2140,2300,2220,09 Jan 2020
3335,Jalana,Bhokardan(Pimpalgaon Renu),Wheat,Other,FAQ,1900,2050,2000,07 Jan 2020
3336,Jalana,Bhokardan(Pimpalgaon Renu),Wheat,Other,FAQ,1950,2050,2000,22 Jan 2020
3337,Rajgarh,Biaora,Wheat,Other,FAQ,1995,2230,2104,17 Jan 2020
3338,Bidar,Bidar,Wheat,Red,FAQ,4100,5500,4500,17 Jan 2020
3339,Chhatarpur,Bijawar,Wheat,Mill Quality,FAQ,1965,2000,1983,23 Jan 2020
3340,Bijnor,Bijnaur,Wheat,Dara,FAQ,2025,2100,2060,05 Jan 2020
3341,Bijnor,Bijnaur,Wheat,Dara,FAQ,2025,2100,2060,13 Jan 2020
3342,Bijnor,Bijnaur,Wheat,Dara,FAQ,2050,2100,2080,25 Jan 2020
3343,Badaun,Bilsi,Wheat,Dara,FAQ,2000,2100,2025,10 Jan 2020
3344,Sagar,Bina,Wheat,Sharbati,FAQ,2010,2360,2165,13 Jan 2020
3345,Guna,Binaganj,Wheat,Other,FAQ,1950,2110,2010,20 Jan 2020
3346,Guna,Binaganj,Wheat,Other,FAQ,2190,2260,2210,04 Jan 2020
3347,Fatehpur,Bindki,Wheat,Dara,FAQ,1900,2000,1980,03 Jan 2020
3348,Fatehpur,Bindki,Wheat,Dara,FAQ,1900,2030,1980,05 Jan 2020
3349,Fatehpur,Bindki,Wheat,Dara,FAQ,1900,2030,1980,12 Jan 2020
3350,Fatehpur,Bindki,Wheat,Dara,FAQ,1980,2100,2050,30 Jan 2020
3351,Birbhum,Birbhum,Wheat,Sonalika,FAQ,1930,2000,1960,07 Jan 2020
3352,Birbhum,Birbhum,Wheat,Sonalika,FAQ,2000,2100,2050,31 Jan 2020
3353,Bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ,1750,1840,1800,30 Jan 2020
3354,Birbhum,Bolpur,Wheat,Sonalika,FAQ,1940,2050,1980,06 Jan 2020
3355,Birbhum,Bolpur,Wheat,Sonalika,FAQ,1950,2050,2000,14 Jan 2020
3356,Botad,Botad,Wheat,Other,FAQ,1930,2635,2285,27 Jan 2020
3357,Botad,Botad,Wheat,Other,FAQ,2095,2740,2420,01 Jan 2020
3358,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1850,1850,1850,02 Jan 2020
3359,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1850,1850,1850,29 Jan 2020
3360,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1900,1900,1900,31 Jan 2020
3361,Bulandshahar,Buland Shahr,Wheat,Dara,FAQ,2120,2160,2150,01 Jan 2020
3362,Bundi,Bundi,Wheat,Other,FAQ,2030,2171,2101,27 Jan 2020
3363,Burhanpur,Burhanpur,Wheat,Lokwan,FAQ,1912,2161,2050,21 Jan 2020
3364,Burhanpur,Burhanpur,Wheat,Lokwan,FAQ,1950,2720,2150,09 Jan 2020
3365,Jaipur Rural,Chaksu,Wheat,Other,FAQ,1950,1976,1970,23 Jan 2020
3366,Jalgaon,Chalisgaon,Wheat,Maharashtra 2189,FAQ,1600,2300,1850,14 Jan 2020
3367,Jalgaon,Chalisgaon,Wheat,Maharashtra 2189,FAQ,1600,2300,1850,22 Jan 2020
3368,Jalgaon,Chalisgaon,Wheat,Maharashtra 2189,FAQ,1600,2460,1900,01 Jan 2020
3369,Chandauli,Chandoli,Wheat,Dara,FAQ,1960,2020,1980,01 Jan 2020
3370,Chandauli,Chandoli,Wheat,Dara,FAQ,2025,2075,2050,11 Jan 2020
3371,Aligarh,Charra,Wheat,Dara,FAQ,1960,2090,2050,31 Jan 2020
3372,Aligarh,Charra,Wheat,Dara,FAQ,2000,2120,2080,14 Jan 2020
3373,Aligarh,Charra,Wheat,Dara,FAQ,2000,2130,2090,28 Jan 2020
3374,Aligarh,Charra,Wheat,Dara,FAQ,2020,2140,2100,29 Jan 2020
3375,Baran,Chhabra,Wheat,Other,FAQ,2083,2206,2145,22 Jan 2020
3376,Baran,Chhabra,Wheat,Other,FAQ,2183,2280,2232,16 Jan 2020
3377,Rajgarh,Chhapiheda,Wheat,147 Average,FAQ,2021,2041,2031,29 Jan 2020
3378,Shehdol,Beohari,Wheat,Other,FAQ,2050,2100,2050,22 Jan 2020
3379,Bhopal,Berasia,Wheat,Other,FAQ,1965,2186,2088,27 Jan 2020
3380,Hanumangarh,Bhadara,Wheat,Other,FAQ,2050,2070,2060,21 Jan 2020
3381,Jodhpur,Bhagat Ki Kothi,Wheat,Other,FAQ,2100,4100,4050,08 Jan 2020
3382,Bhandara,Bhandara,Wheat,Maharashtra 2189,FAQ,1900,2000,1980,06 Jan 2020
3383,Etawah,Bharthna,Wheat,Dara,FAQ,2000,2060,2030,18 Jan 2020
3384,Hamirpur,Bharuasumerpur,Wheat,Dara,FAQ,1950,2100,2000,28 Jan 2020
3385,Hamirpur,Bharuasumerpur,Wheat,Dara,FAQ,1960,2100,2000,24 Jan 2020
3386,Balodabazar,Bhatapara,Wheat,Local,FAQ,1852,2252,2076,08 Jan 2020
3387,Jhalawar,Bhawani Mandi,Wheat,Other,FAQ,2142,2200,2171,08 Jan 2020
3388,Jhalawar,Bhawani Mandi(Raipur),Wheat,Other,FAQ,2062,2063,2062,21 Jan 2020
3389,Sambhal,Bhehjoi,Wheat,Dara,FAQ,1840,1860,1850,04 Jan 2020
3390,Khargone,Bhikangaon,Wheat,Lokwan,FAQ,2191,2481,2350,06 Jan 2020
3391,Bhilwara,Bhilwara,Wheat,Other,FAQ,2030,2200,2115,27 Jan 2020
3392,Bhilwara,Bhilwara,Wheat,Other,FAQ,2100,2350,2225,02 Jan 2020
3393,Bhilwara,Bhilwara,Wheat,Other,FAQ,2140,2300,2220,10 Jan 2020
3394,Jalana,Bhokardan(Pimpalgaon Renu),Wheat,Other,FAQ,1900,2050,2000,28 Jan 2020
3395,Rajgarh,Biaora,Wheat,Other,FAQ,2079,2107,2100,29 Jan 2020
3396,Bidar,Bidar,Wheat,Red,FAQ,2400,2850,2600,23 Jan 2020
3397,Bidar,Bidar,Wheat,Red,FAQ,2400,2850,2650,09 Jan 2020
3398,Bidar,Bidar,Wheat,Red,FAQ,2450,2850,2650,01 Jan 2020
3399,Bijapur,Bijapur,Wheat,Medium,FAQ,3500,4000,3800,13 Jan 2020
3400,Chhatarpur,Bijawar,Wheat,Mill Quality,FAQ,1925,1940,1933,29 Jan 2020
3401,Badaun,Bilsi,Wheat,Local,FAQ,2000,2050,2030,19 Jan 2020
3402,Badaun,Bilsi,Wheat,Local,FAQ,2000,2050,2040,26 Jan 2020
3403,Badaun,Bilsi,Wheat,Local,FAQ,2000,2100,2030,18 Jan 2020
3404,Badaun,Bilsi,Wheat,Local,FAQ,2000,2100,2040,29 Jan 2020
3405,Sagar,Bina,Wheat,Sharbati,FAQ,1900,2325,2170,20 Jan 2020
3406,Guna,Binaganj,Wheat,Other,FAQ,1970,2060,2030,29 Jan 2020
3407,Guna,Binaganj,Wheat,Other,FAQ,2175,2250,2210,06 Jan 2020
3408,Fatehpur,Bindki,Wheat,Dara,FAQ,2000,2100,2050,31 Jan 2020
3409,Birbhum,Birbhum,Wheat,Sonalika,FAQ,2000,2100,2050,26 Jan 2020
3410,Bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ,1750,1840,1800,08 Jan 2020
3411,Bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ,1750,1840,1800,11 Jan 2020
3412,Bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ,1750,1850,1800,23 Jan 2020
3413,Anand,Borsad,Wheat,Other,FAQ,2000,2050,2050,31 Jan 2020
3414,Botad,Botad,Wheat,Other,FAQ,2145,2650,2400,21 Jan 2020
3415,Botad,Botad,Wheat,Other,FAQ,2230,2595,2415,31 Jan 2020
3416,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1850,1850,1850,19 Jan 2020
3417,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1900,1900,1900,01 Jan 2020
3418,Shehdol,Budhar,Wheat,Mill Quality,FAQ,1900,1900,1900,23 Jan 2020
3419,Bulandshahar,Buland Shahr,Wheat,Dara,FAQ,2070,2085,2075,31 Jan 2020
3420,Buldhana,Buldhana(Dhad),Wheat,Other,FAQ,1800,2000,1900,03 Jan 2020
3421,Bundi,Bundi,Wheat,Other,FAQ,2070,2222,2146,17 Jan 2020
3422,Rewa,Chaakghat,Wheat,147 Average,FAQ,1950,1950,1950,23 Jan 2020
3423,Jaipur Rural,Chaksu,Wheat,Other,FAQ,1900,2085,2030,25 Jan 2020
3424,Jaipur Rural,Chaksu,Wheat,Other,FAQ,1961,2225,2200,07 Jan 2020
3425,Jaipur Rural,Chaksu,Wheat,Other,FAQ,2153,2251,2200,01 Jan 2020
3426,Jalgaon,Chalisgaon,Wheat,Maharashtra 2189,FAQ,1500,2400,1850,02 Jan 2020
3427,Ashoknagar,Chanderi,Wheat,Mill Quality,FAQ,2145,2201,2173,09 Jan 2020
3428,Chandauli,Chandoli,Wheat,Dara,FAQ,2000,2050,2020,03 Jan 2020
3429,Chandauli,Chandoli,Wheat,Dara,FAQ,2030,2075,2055,17 Jan 2020
3430,Chandauli,Chandoli,Wheat,Dara,FAQ,2040,2080,2060,07 Jan 2020
3431,Chandauli,Chandoli,Wheat,Dara,FAQ,2050,2090,2070,09 Jan 2020
3432,Auraiya,Achalda,Wheat,Dara,FAQ,2000,2060,2040,01 Jan 2020
3433,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2190,2170,11 Jan 2020
3434,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2200,2140,21 Jan 2020
3435,Amarawati,Achalpur,Wheat,Other,FAQ,2220,2400,2310,09 Jan 2020
3436,Agra,Achnera,Wheat,Dara,FAQ,2000,2100,2050,03 Jan 2020
3437,Agra,Achnera,Wheat,Dara,FAQ,2100,2160,2130,14 Jan 2020
3438,Agra,Achnera,Wheat,Dara,FAQ,2100,2160,2130,22 Jan 2020
3439,Agra,Achnera,Wheat,Dara,FAQ,2100,2200,2150,31 Jan 2020
3440,Agra,Agra,Wheat,Dara,FAQ,2120,2160,2140,07 Jan 2020
3441,Agra,Agra,Wheat,Dara,FAQ,2140,2180,2160,11 Jan 2020
3442,Agra,Agra,Wheat,Dara,FAQ,2150,2180,2170,20 Jan 2020
3443,Agra,Agra,Wheat,Dara,FAQ,2160,2190,2170,10 Jan 2020
3444,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2040,2040,2040,24 Jan 2020
3445,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2055,2055,2055,25 Jan 2020
3446,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2160,2160,2160,11 Jan 2020
3447,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,1880,1940,1930,12 Jan 2020
3448,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,1890,1980,1970,24 Jan 2020
3449,Shajapur,Akodiya,Wheat,Mill Quality,FAQ,1700,2150,2050,02 Jan 2020
3450,Akola,Akola,Wheat,Other,FAQ,1925,2400,2300,27 Jan 2020
3451,Akola,Akola,Wheat,Other,FAQ,1925,2900,2700,01 Jan 2020
3452,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,04 Jan 2020
3453,Alappuzha,Alappuzha,Wheat,Other,FAQ,2000,2100,2050,05 Jan 2020
3454,Alappuzha,Alappuzha,Wheat,Other,FAQ,2050,2150,2100,30 Jan 2020
3455,Alirajpur,Alirajpur,Wheat,147 Average,FAQ,2000,2000,2000,24 Jan 2020
3456,Prayagraj,Allahabad,Wheat,Dara,FAQ,1830,2400,2080,23 Jan 2020
3457,Prayagraj,Allahabad,Wheat,Dara,FAQ,1950,2450,2100,27 Jan 2020
3458,Alwar,Alwar,Wheat,Other,FAQ,2180,2200,2190,09 Jan 2020
3459,Jalgaon,Amalner,Wheat,Other,FAQ,1850,2100,2100,16 Jan 2020
3460,Jalgaon,Amalner,Wheat,Other,FAQ,1850,2401,2401,06 Jan 2020
3461,Jalgaon,Amalner,Wheat,Other,FAQ,1999,2525,2525,23 Jan 2020
3462,Jalgaon,Amalner,Wheat,Other,FAQ,2100,2471,2471,24 Jan 2020
3463,Amarawati,Amarawati,Wheat,Other,FAQ,2125,2900,2513,14 Jan 2020
3464,Amarawati,Amarawati,Wheat,Other,FAQ,2125,2900,2513,17 Jan 2020
3465,Amarawati,Amarawati,Wheat,Other,FAQ,2150,2900,2525,07 Jan 2020
3466,Amarawati,Amarawati,Wheat,Other,FAQ,2150,2950,2550,04 Jan 2020
3467,Satna,Amarpatan,Wheat,Other,FAQ,2010,2100,2055,09 Jan 2020
3468,Satna,Amarpatan,Wheat,Other,FAQ,2015,2175,2095,10 Jan 2020
3469,Banaskanth,Amirgadh,Wheat,Other,FAQ,2000,2000,2000,20 Jan 2020
3470,Banaskanth,Amirgadh,Wheat,Other,FAQ,2050,2450,2250,21 Jan 2020
3471,Banaskanth,Amirgadh,Wheat,Other,FAQ,2170,2295,2230,31 Jan 2020
3472,Banaskanth,Amirgadh,Wheat,Other,FAQ,2255,2300,2275,09 Jan 2020
3473,Amreli,Amreli,Wheat,Lokwan,FAQ,1870,2555,2375,21 Jan 2020
3474,Amreli,Amreli,Wheat,Lokwan,FAQ,1980,2345,2325,28 Jan 2020
3475,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,1955,2535,2340,03 Jan 2020
3476,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,1972,2590,2370,07 Jan 2020
3477,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2125,2575,2455,23 Jan 2020
3478,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2290,2535,2450,11 Jan 2020
3479,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2430,2500,2500,31 Jan 2020
3480,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2525,2600,2550,20 Jan 2020
3481,Amroha,Amroha,Wheat,Local,FAQ,2000,2060,2030,06 Jan 2020
3482,Amroha,Amroha,Wheat,Local,FAQ,2010,2050,2030,22 Jan 2020
3483,Amarawati,Anajngaon,Wheat,Other,FAQ,1800,2400,2100,21 Jan 2020
3484,Badwani,Anjad,Wheat,Lokwan,FAQ,1950,2285,2000,04 Jan 2020
3485,Badwani,Anjad,Wheat,Lokwan,FAQ,1975,2213,1980,15 Jan 2020
3486,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2173,2190,2185,18 Jan 2020
3487,Katni,Katni,Wheat,Lokwan,FAQ,2051,2124,2094,22 Jan 2020
3488,Katni,Katni,Wheat,Lokwan,FAQ,2200,2225,2213,08 Jan 2020
3489,Nagpur,Katol,Wheat,Other,FAQ,2065,2065,2065,01 Jan 2020
3490,Nagpur,Katol,Wheat,Other,FAQ,2161,2185,2175,16 Jan 2020
3491,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2139,2293,2216,01 Jan 2020
3492,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2230,2300,2265,02 Jan 2020
3493,Kabirdham,Kawardha,Wheat,Deshi,FAQ,1999,2070,1999,02 Jan 2020
3494,Farukhabad,Kayamganj,Wheat,Dara,FAQ,2020,2050,2030,25 Jan 2020
3495,Farukhabad,Kayamganj,Wheat,Dara,FAQ,2040,2060,2050,31 Jan 2020
3496,Farukhabad,Kayamganj,Wheat,Dara,FAQ,2050,2070,2060,11 Jan 2020
3497,Kekri,Kekri,Wheat,Other,FAQ,1898,2360,2040,19 Jan 2020
3498,Seoni,Keolari,Wheat,Local,FAQ,2000,2000,2000,06 Jan 2020
3499,Seoni,Keolari,Wheat,Local,FAQ,2049,2055,2052,13 Jan 2020
3500,Aligarh,Khair,Wheat,Dara,FAQ,2130,2200,2170,09 Jan 2020
3501,Agra,Khairagarh,Wheat,Dara,FAQ,1900,2000,1950,05 Jan 2020
3502,Khairthal Tijara,Khairthal,Wheat,Other,FAQ,2140,2180,2160,07 Jan 2020
3503,Anand,Khambhat(Grain Market),Wheat,Other,FAQ,2100,2140,2120,30 Jan 2020
3504,Anand,Khambhat(Grain Market),Wheat,Other,FAQ,2100,2150,2130,22 Jan 2020
3505,Buldhana,Khamgaon,Wheat,Other,FAQ,1939,2600,2269,30 Jan 2020
3506,Buldhana,Khamgaon,Wheat,Other,FAQ,1985,2550,2267,20 Jan 2020
3507,Buldhana,Khamgaon,Wheat,Other,FAQ,2080,2160,2120,18 Jan 2020
3508,Khandwa,Khandwa,Wheat,Lok-1,FAQ,1901,2235,2125,31 Jan 2020
3509,Shivpuri,Khaniadhana,Wheat,Lokwan,FAQ,1990,2150,2020,20 Jan 2020
3510,Shivpuri,Khaniadhana,Wheat,Lokwan,FAQ,2180,2191,2185,19 Jan 2020
3511,Jhalawar,Khanpur,Wheat,Other,FAQ,2200,2271,2235,17 Jan 2020
3512,Tikamgarh,Khargapur,Wheat,Mill Quality,FAQ,2050,2095,2085,17 Jan 2020
3513,Tikamgarh,Khargapur,Wheat,Mill Quality,FAQ,2050,2100,2090,14 Jan 2020
3514,Tikamgarh,Khargapur,Wheat,Mill Quality,FAQ,2100,2128,2112,08 Jan 2020
3515,Khargone,Khargone,Wheat,Other,FAQ,2095,2286,2160,27 Jan 2020
3516,Khargone,Khargone,Wheat,Other,FAQ,2100,2276,2140,24 Jan 2020
3517,Khargone,Khargone,Wheat,Other,FAQ,2200,2437,2260,17 Jan 2020
3518,Dewas,Khategaon,Wheat,Other,FAQ,2000,2140,2100,20 Jan 2020
3519,Dewas,Khategaon,Wheat,Other,FAQ,2000,2210,2080,07 Jan 2020
3520,Dewas,Khategaon,Wheat,Other,FAQ,2000,2299,2080,06 Jan 2020
3521,Dewas,Khategaon,Wheat,Other,FAQ,2000,2341,2100,03 Jan 2020
3522,Bankura,Khatra,Wheat,Sonalika,FAQ,1750,1840,1820,24 Jan 2020
3523,Bankura,Khatra,Wheat,Sonalika,FAQ,1750,1850,1800,15 Jan 2020
3524,Sabarkantha,Khedbrahma,Wheat,Other,FAQ,2000,2335,2167,24 Jan 2020
3525,Sabarkantha,Khedbrahma,Wheat,Other,FAQ,2150,2430,2152,02 Jan 2020
3526,Alwar,Kherli,Wheat,Other,FAQ,2017,2080,2058,27 Jan 2020
3527,Harda,Khirakiya,Wheat,147 Average,FAQ,2124,2250,2225,08 Jan 2020
3528,Harda,Khirakiya,Wheat,147 Average,FAQ,2150,2230,2224,04 Jan 2020
3529,Harda,Khirakiya,Wheat,147 Average,FAQ,2171,2250,2244,06 Jan 2020
3530,Bulandshahar,Khurja,Wheat,Dara,FAQ,1915,2180,2060,31 Jan 2020
3531,Shivpuri,Kolaras,Wheat,Other,FAQ,1825,2270,2213,13 Jan 2020
3532,Shivpuri,Kolaras,Wheat,Other,FAQ,2175,2276,2221,08 Jan 2020
3533,Jalaun (Orai),Konch,Wheat,Dara,FAQ,2040,2080,2060,13 Jan 2020
3534,Jalaun (Orai),Konch,Wheat,Dara,FAQ,2065,2125,2105,03 Jan 2020
3535,Kota,Kota,Wheat,Other,FAQ,2131,2281,2200,06 Jan 2020
3536,Dhar,Kukshi,Wheat,Other,FAQ,2020,2250,2180,16 Jan 2020
3537,Dhar,Kukshi,Wheat,Other,FAQ,2220,2300,2250,06 Jan 2020
3538,Hamirpur,Kurara,Wheat,Dara,FAQ,1900,2000,1950,30 Jan 2020
3539,Hamirpur,Kurara,Wheat,Dara,FAQ,2050,2150,2100,10 Jan 2020
3540,Hamirpur,Kurara,Wheat,Dara,FAQ,2050,2150,2100,14 Jan 2020
3541,Aligarh,Charra,Wheat,Dara,FAQ,1950,2080,2040,04 Jan 2020
3542,Aligarh,Charra,Wheat,Dara,FAQ,1960,2080,2040,07 Jan 2020
3543,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,1950,2481,2215,28 Jan 2020
3544,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,2500,2550,2525,23 Jan 2020
3545,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,2500,2700,2600,30 Jan 2020
3546,Chhindwara,Chaurai,Wheat,Other,FAQ,1985,2101,2043,31 Jan 2020
3547,Baran,Chhabra,Wheat,Other,FAQ,2189,2270,2230,14 Jan 2020
3548,Baran,Chhabra,Wheat,Other,FAQ,2222,2285,2254,03 Jan 2020
3549,Rajgarh,Chhapiheda,Wheat,147 Average,FAQ,1926,2210,2068,20 Jan 2020
3550,Chhatarpur,Chhatarpur,Wheat,Other,FAQ,2080,2178,2100,02 Jan 2020
3551,Kannuj,Chhibramau,Wheat,Dara,FAQ,2050,2150,2100,17 Jan 2020
3552,Chhindwara,Chhindwara,Wheat,Other,FAQ,2101,2351,2250,17 Jan 2020
3553,Jhansi,Chirgaon,Wheat,Dara,FAQ,1840,2170,2150,10 Jan 2020
3554,Ballia,Chitwadagaon,Wheat,Dara,FAQ,2000,2080,2040,20 Jan 2020
3555,Ballia,Chitwadagaon,Wheat,Dara,FAQ,2000,2100,2050,29 Jan 2020
3556,Ballia,Chitwadagaon,Wheat,Dara,FAQ,2000,2120,2060,30 Jan 2020
3557,Jaipur Rural,Chomu (Grain),Wheat,Other,FAQ,2080,2080,2080,04 Jan 2020
3558,Gorakhpur,Chorichora,Wheat,Dara,FAQ,1900,2050,1950,22 Jan 2020
3559,Gorakhpur,Chorichora,Wheat,Dara,FAQ,1900,2050,1965,02 Jan 2020
3560,Jhalawar,Choumahla,Wheat,Other,FAQ,2150,2300,2225,04 Jan 2020
3561,Gwalior,Dabra,Wheat,Other,FAQ,2010,2311,2160,07 Jan 2020
3562,Gwalior,Dabra,Wheat,Other,FAQ,2015,2110,2100,22 Jan 2020
3563,Gwalior,Dabra,Wheat,Other,FAQ,2153,2237,2195,20 Jan 2020
3564,Gautam Budh Nagar,Dadri,Wheat,Dara,FAQ,2000,2100,2050,02 Jan 2020
3565,Gautam Budh Nagar,Dadri,Wheat,Dara,FAQ,2050,2220,2080,25 Jan 2020
3566,Dahod,Dahod,Wheat,147 Average,FAQ,2375,2450,2420,02 Jan 2020
3567,Gautam Budh Nagar,Dankaur,Wheat,Dara,FAQ,1950,2155,2050,16 Jan 2020
3568,Gautam Budh Nagar,Dankaur,Wheat,Dara,FAQ,2000,2100,2060,28 Jan 2020
3569,Gautam Budh Nagar,Dankaur,Wheat,Dara,FAQ,2100,2230,2140,21 Jan 2020
3570,Datia,Datia,Wheat,Other,FAQ,2020,2129,2075,22 Jan 2020
3571,Datia,Datia,Wheat,Other,FAQ,2030,2137,2085,21 Jan 2020
3572,Datia,Datia,Wheat,Other,FAQ,2170,2216,2190,17 Jan 2020
3573,Dausa,Dausa,Wheat,Other,FAQ,2030,2222,2126,24 Jan 2020
3574,Banaskanth,Deesa,Wheat,Other,FAQ,2145,2330,2250,21 Jan 2020
3575,Gandhinagar,Dehgam,Wheat,Other,FAQ,2225,2425,2325,08 Jan 2020
3576,Gandhinagar,Dehgam(Rekhiyal),Wheat,Other,FAQ,2025,2225,2125,25 Jan 2020
3577,Gandhinagar,Dehgam(Rekhiyal),Wheat,Other,FAQ,2150,2250,2200,20 Jan 2020
3578,Gandhinagar,Dehgam(Rekhiyal),Wheat,Other,FAQ,2300,2375,2337,11 Jan 2020
3579,Sagar,Deori,Wheat,Local,FAQ,2100,2150,2150,10 Jan 2020
