Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
69,Alappuzha,Alappuzha,Wheat,Other,FAQ,2050,2150,2100,31 Jan 2020
70,Etah,Aliganj,Wheat,Dara,FAQ,1980,2020,2000,09 Jan 2020
71,Etah,Aliganj,Wheat,Other,FAQ,1980,2020,2000,08 Jan 2020
72,Aligarh,Aligarh,Wheat,Dara,FAQ,2090,2120,2100,02 Jan 2020
73,Alirajpur,Alirajpur,Wheat,147 Average,FAQ,2000,2000,2000,11 Jan 2020
74,Prayagraj,Allahabad,Wheat,Dara,FAQ,1850,2200,1960,02 Jan 2020
75,Alwar,Alwar,Wheat,Other,FAQ,2060,2080,2070,21 Jan 2020
76,Alwar,Alwar,Wheat,Other,FAQ,2150,2170,2160,15 Jan 2020
77,Jalgaon,Amalner,Wheat,Other,FAQ,2100,2450,2450,02 Jan 2020
78,Jalgaon,Amalner,Wheat,Other,FAQ,2101,2401,2401,20 Jan 2020
79,Amarawati,Amarawati,Wheat,147 Average,FAQ,2100,2200,2150,27 Jan 2020
80,Amarawati,Amarawati,Wheat,Other,FAQ,2100,2300,2200,23 Jan 2020
81,Satna,Amarpatan,Wheat,Other,FAQ,2080,2115,2098,08 Jan 2020
82,Jalana,Ambad (Vadigodri),Wheat,Other,FAQ,1900,3361,2650,23 Jan 2020
83,Banaskanth,Amirgadh,Wheat,Other,FAQ,2095,2250,2170,22 Jan 2020
84,Banaskanth,Amirgadh,Wheat,Other,FAQ,2250,2330,2290,27 Jan 2020
85,Amreli,Amreli,Wheat,Lokwan,FAQ,2180,2505,2385,09 Jan 2020
86,Amreli,Amreli,Wheat,Lokwan,FAQ,2260,2370,2330,16 Jan 2020
87,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2205,2555,2400,27 Jan 2020
88,Amreli,Amreli,Wheat,Rajasthan Tukdi,FAQ,2275,2560,2350,01 Jan 2020
89,Amroha,Amroha,Wheat,Local,FAQ,2000,2050,2035,11 Jan 2020
90,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1900,2000,1955,02 Jan 2020
91,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1910,2010,1960,24 Jan 2020
92,Maharajganj,Anandnagar,Wheat,Dara,FAQ,1920,2025,1965,17 Jan 2020
93,Badwani,Anjad,Wheat,Lokwan,FAQ,1975,2154,2000,19 Jan 2020
